Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Volume_MA_30,Day_of_Week,Month,Quarter,Year,Close_Diff
80.181427,80.924286,79.761429,80.404289,69.480499,97053600,-0.25874687758143944,-0.0025908220587395033,1.1628569999999883,70.18169728571429,70.26638003333332,68.91763616666665,2.435723171163228,133361713.33333333,1,6,2,2012,-0.18024499999999932
81.110001,81.978569,80.785713,81.637146,70.545883,100363900,1.5333568631969774,0.015217197550043414,1.192855999999992,70.34341757142856,70.31238553333333,69.08796795555556,2.422356752054528,127739266.66666667,2,6,2,2012,1.0653840000000088
82.470001,82.474289,81.5,81.674286,70.577957,94941700,0.045465445517201,0.0004545511311518372,0.9742889999999989,70.333714,70.15486523333333,69.25079648888888,1.7662555140423108,123355843.33333333,3,6,2,2012,0.032073999999994385
81.657143,82.940002,81.285713,82.902855,71.639626,86879100,1.5042501159391763,0.014930484680538567,1.6542890000000057,70.35399414285715,70.0421979,69.42066165555555,1.792979605622065,121784576.66666667,4,6,2,2012,1.061669000000009
83.959999,84.071426,81.51857,81.595711,70.510078,147816200,-1.5767083987847874,-0.015892706675299153,2.5528560000000056,70.23830842857143,69.9112195,69.57837398888888,1.8087228133654638,123322430.0,0,6,2,2012,-1.129548000000014
82.065712,82.374283,80.957146,82.308571,71.126038,108845100,0.8735772494819827,0.008697836408203256,1.417137000000011,70.50583214285714,69.87903923333333,69.74439813333333,1.7268142643733044,122732726.66666667,1,6,2,2012,0.6159600000000012
82.074287,82.639999,81.482857,81.737144,70.632256,73395000,-0.6942352110207439,-0.006966562352368034,1.1571420000000074,70.64461957142858,69.83801270000001,69.89868102222222,1.730342110472275,120087566.66666667,2,6,2,2012,-0.49378199999999595
81.605713,81.928574,81.03714,81.647141,70.554489,86393300,-0.11010125458826847,-0.001101619105456454,0.8914340000000038,70.79804671428572,69.77855123333333,70.0462155,1.7252343058916828,119405766.66666667,3,6,2,2012,-0.07776699999999437
81.571426,82.08857,81.364288,82.01857,70.875465,83813800,0.4549334911914782,0.004539017966171613,0.7242820000000023,70.84512985714285,69.74690703333334,70.19065023333333,1.7234187633068028,118944980.0,4,6,2,2012,0.3209760000000017
81.565712,83.984283,81.48143,83.682854,72.313637,110103000,2.0291535300685393,0.020088405379973553,2.5028530000000018,71.09308414285714,69.83138683333333,70.34029728888889,1.6778746013955568,118198476.66666667,0,6,2,2012,1.4381719999999945
83.342857,84.285713,83.300003,83.915718,72.514885,90351100,0.2782988221156746,0.0027791228792438285,0.9857099999999974,71.21812114285714,69.90516816666667,70.46956144444445,1.674115032256203,117375860.0,1,6,2,2012,0.20124800000000675
84.029999,84.178574,82.971428,83.677139,72.308708,89735800,-0.28432369436980354,-0.002847286619804367,1.2071459999999945,71.47506828571429,69.97742693333333,70.59619217777778,1.6745443930961719,116223286.66666667,2,6,2,2012,-0.20617700000001093
83.634285,84.031425,82.491432,82.524284,71.312492,81587800,-1.3777261792590645,-0.013873049072376024,1.5399929999999955,71.50170457142858,70.01236343333333,70.69916208888888,1.6964728693277598,114937013.33333333,3,6,2,2012,-0.9962159999999898
82.720001,83.169998,82.202858,83.157143,71.85936,71117900,0.7668614357215109,0.007639359999207465,0.9671400000000006,71.67700514285715,70.06001436666666,70.7987988,1.7011025229778691,114530943.33333333,4,6,2,2012,0.5468679999999893
82.471428,82.828575,81.48143,81.538574,70.460701,76095600,-1.9463838809585798,-0.01965575366841657,1.3471449999999976,71.66360685714285,70.07672146666667,70.8990665888889,1.7361604936558939,113737913.33333333,0,6,2,2012,-1.398658999999995
81.618568,82.07,81.047142,81.718575,70.616219,69134100,0.22071594206818368,0.0022047272225029528,1.0228579999999994,71.6265717142857,70.13354826666666,70.99483533333333,1.711904732929037,113103830.0,1,6,2,2012,0.1555180000000007
82.14286,82.391426,81.702858,82.071426,70.92115,50749300,0.4318143966331567,0.0043088475352848635,0.6885679999999894,71.427645,70.22132036666667,71.09411528888889,1.702342587314983,110826006.66666667,2,6,2,2012,0.3049309999999963
81.667145,82.0,80.80143,81.292854,70.248352,70709100,-0.9486563599152009,-0.00953184766461714,1.1985700000000037,71.10385457142857,70.31584066666666,71.16845868888889,1.6938159995831916,108508843.33333333,3,6,2,2012,-0.6727980000000002
82.571426,83.428574,82.035713,83.428574,72.093903,105375200,2.6271804924334674,0.025932628744492463,1.3928609999999964,71.07316814285714,70.53755366666665,71.26579077777777,1.6490048643312314,106044516.66666667,4,6,2,2012,1.8455510000000004
83.53286,84.781425,83.371429,84.645714,73.145668,100023000,1.4588820361133736,0.014483427324846785,1.4099959999999925,71.33505042857142,70.79325563333333,71.37021425555555,1.6605895038881942,103276180.0,0,7,3,2012,1.0517650000000032
84.982857,85.714287,84.85714,85.629997,73.996246,60428200,1.162854921223766,0.011561457254350774,0.8571469999999977,71.64031985714286,70.95015843333334,71.4758311,1.3160477755893252,100031236.66666667,1,7,3,2012,0.8505779999999987
85.794289,87.762856,85.664284,87.134285,75.29615,121095800,1.7567161447622492,0.017414642493020334,2.0985720000000043,72.33109828571428,71.16812716666666,71.59129630000001,1.3308242204762633,98277176.66666667,3,7,3,2012,1.299903999999998
